Tran Type,Amount,Bank Commission,Agence Commission,TOF,profitability
1,100.0,0.0,0.0,0.0,0
1,1000.0,0.0,0.0,0.0,0
3,10.0,0.0,0.0,0.0,0
2,300.0,0.0,0.0,0.0,0
2,240.0,0.0,0.0,0.0,0
1,500.0,0.0,0.0,0.0,0
2,187000.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
2,510.0,0.0,0.0,0.0,0
3,200.0,0.0,0.0,0.0,0
2,1345.0,0.0,0.0,0.0,0
3,200.0,0.0,0.0,0.0,0
2,73202.0,0.0,0.0,0.0,0
4,22.0,0.0,0.0,0.0,0
2,10900.0,0.0,0.0,0.0,0
2,1310.0,0.0,0.0,0.0,0
2,17440.0,0.0,0.0,0.0,0
3,50.0,0.0,0.0,0.0,0
2,2100.0,0.0,0.0,0.0,0
1,300.0,0.0,0.0,0.0,0
2,500.0,0.0,0.0,0.0,0
3,10.0,0.0,0.0,0.0,0
1,170.0,0.0,0.0,0.0,0
2,7600.0,0.0,0.0,0.0,0
4,50.0,0.0,0.0,0.0,0
2,4900.0,0.0,0.0,0.0,0
3,20.0,0.0,0.0,0.0,0
2,13810.0,0.0,0.0,0.0,0
3,20.0,0.0,0.0,0.0,0
3,10.0,0.0,0.0,0.0,0
2,9253.0,0.0,0.0,0.0,0
2,500.0,0.0,0.0,0.0,0
2,3080.0,0.0,0.0,0.0,0
1,70.0,0.0,0.0,0.0,0
2,2150.0,0.0,0.0,0.0,0
1,150.0,0.0,0.0,0.0,0
2,4525.0,0.0,0.0,0.0,0
2,490.0,0.0,0.0,0.0,0
1,300.0,0.0,0.0,0.0,0
1,3100.0,8.4,0.0,1.6,1
3,10.0,0.0,0.0,0.0,0
1,57.0,0.0,0.0,0.0,0
1,50.0,0.0,0.0,0.0,0
2,38750.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
4,426.0,0.0,0.0,0.0,0
2,3390.0,0.0,0.0,0.0,0
2,900.0,0.0,0.0,0.0,0
1,20.0,0.0,0.0,0.0,0
1,50.0,0.0,0.0,0.0,0
1,600.0,0.0,0.0,0.0,0
2,26305.0,0.0,0.0,0.0,0
2,540.0,0.0,0.0,0.0,0
3,20.0,0.0,0.0,0.0,0
2,4000.0,0.0,0.0,0.0,0
2,650.0,0.0,0.0,0.0,0
1,150.0,0.0,0.0,0.0,0
2,150.0,0.0,0.0,0.0,0
1,20.0,0.0,0.0,0.0,0
2,30.0,0.0,0.0,0.0,0
2,230.0,0.0,0.0,0.0,0
1,300.0,0.0,0.0,0.0,0
3,200.0,0.0,0.0,0.0,0
2,9720.0,0.0,0.0,0.0,0
2,3600.0,0.0,0.0,0.0,0
3,10.0,0.0,0.0,0.0,0
2,1150.0,0.0,0.0,0.0,0
2,1750.0,0.0,0.0,0.0,0
2,5000.0,0.0,0.0,0.0,0
2,800.0,0.0,0.0,0.0,0
2,520.0,0.0,0.0,0.0,0
2,1555.0,0.0,0.0,0.0,0
3,50.0,0.0,0.0,0.0,0
1,1000.0,0.0,0.0,0.0,0
2,170.0,0.0,0.0,0.0,0
2,5700.0,0.0,0.0,0.0,0
2,5150.0,0.0,0.0,0.0,0
2,500.0,0.0,0.0,0.0,0
2,200.0,0.0,0.0,0.0,0
2,6250.0,0.0,0.0,0.0,0
2,148850.0,0.0,0.0,0.0,0
2,4812.0,0.0,0.0,0.0,0
1,30.0,0.0,0.0,0.0,0
3,20.0,0.0,0.0,0.0,0
4,68.0,0.0,0.0,0.0,0
2,1750.0,0.0,0.0,0.0,0
2,700.0,0.0,0.0,0.0,0
2,7200.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
1,40.0,0.0,0.0,0.0,0
2,1940.0,0.0,0.0,0.0,0
2,6650.0,0.0,0.0,0.0,0
2,4250.0,0.0,0.0,0.0,0
2,10500.0,0.0,0.0,0.0,0
2,200.0,0.0,0.0,0.0,0
2,21350.0,0.0,0.0,0.0,0
2,880.0,0.0,0.0,0.0,0
1,400.0,0.0,0.0,0.0,0
1,50.0,0.0,0.0,0.0,0
1,105200.0,8.4,0.0,1.6,1
3,10.0,0.0,0.0,0.0,0
2,1450.0,0.0,0.0,0.0,0
3,10.0,0.0,0.0,0.0,0
2,6470.0,0.0,0.0,0.0,0
3,20.0,0.0,0.0,0.0,0
2,1200.0,0.0,0.0,0.0,0
1,50.0,0.0,0.0,0.0,0
5,2000.0,0.0,20.0,0.0,0
2,300.0,0.0,0.0,0.0,0
3,10.0,0.0,0.0,0.0,0
2,3400.0,0.0,0.0,0.0,0
2,6200.0,0.0,0.0,0.0,0
3,10.0,0.0,0.0,0.0,0
3,10.0,0.0,0.0,0.0,0
2,9000.0,0.0,0.0,0.0,0
1,200.0,0.0,0.0,0.0,0
2,456244.0,0.0,0.0,0.0,0
2,1350.0,0.0,0.0,0.0,0
3,50.0,0.0,0.0,0.0,0
2,5000.0,0.0,0.0,0.0,0
2,500.0,0.0,0.0,0.0,0
3,20.0,0.0,0.0,0.0,0
3,10.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
1,80.0,0.0,0.0,0.0,0
3,50.0,0.0,0.0,0.0,0
3,20.0,0.0,0.0,0.0,0
1,30.0,0.0,0.0,0.0,0
2,790.0,0.0,0.0,0.0,0
2,3900.0,0.0,0.0,0.0,0
2,1400.0,0.0,0.0,0.0,0
2,90000.0,0.0,0.0,0.0,0
1,500.0,0.0,0.0,0.0,0
2,950.0,0.0,0.0,0.0,0
2,450.0,0.0,0.0,0.0,0
2,5600.0,0.0,0.0,0.0,0
1,12500.0,8.4,0.0,1.6,1
2,12450.0,0.0,0.0,0.0,0
1,30.0,0.0,0.0,0.0,0
2,325.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
1,20.0,0.0,0.0,0.0,0
1,300.0,0.0,0.0,0.0,0
2,170.0,0.0,0.0,0.0,0
1,200.0,0.0,0.0,0.0,0
2,9623.0,0.0,0.0,0.0,0
2,6950.0,0.0,0.0,0.0,0
3,50.0,0.0,0.0,0.0,0
2,6590.0,0.0,0.0,0.0,0
3,50.0,0.0,0.0,0.0,0
1,400.0,0.0,0.0,0.0,0
2,2900.0,0.0,0.0,0.0,0
1,400.0,0.0,0.0,0.0,0
1,900.0,0.0,0.0,0.0,0
2,2500.0,0.0,0.0,0.0,0
1,20.0,0.0,0.0,0.0,0
2,3600.0,0.0,0.0,0.0,0
2,540.0,0.0,0.0,0.0,0
2,1830.0,0.0,0.0,0.0,0
1,30.0,0.0,0.0,0.0,0
1,500.0,0.0,0.0,0.0,0
2,6200.0,0.0,0.0,0.0,0
2,3460.0,0.0,0.0,0.0,0
1,3000.0,8.4,0.0,1.6,1
2,650.0,0.0,0.0,0.0,0
3,20.0,0.0,0.0,0.0,0
1,30.0,0.0,0.0,0.0,0
1,45.0,0.0,0.0,0.0,0
1,1000.0,0.0,0.0,0.0,0
3,10.0,0.0,0.0,0.0,0
2,650.0,0.0,0.0,0.0,0
3,50.0,0.0,0.0,0.0,0
2,7340.0,0.0,0.0,0.0,0
2,200.0,0.0,0.0,0.0,0
2,300.0,0.0,0.0,0.0,0
1,497.0,0.0,0.0,0.0,0
2,1770.0,0.0,0.0,0.0,0
3,20.0,0.0,0.0,0.0,0
1,30.0,0.0,0.0,0.0,0
2,70.0,0.0,0.0,0.0,0
2,2150.0,0.0,0.0,0.0,0
2,2100.0,0.0,0.0,0.0,0
1,50.0,0.0,0.0,0.0,0
1,100.0,0.0,0.0,0.0,0
3,50.0,0.0,0.0,0.0,0
3,10.0,0.0,0.0,0.0,0
